신체계통,증상,KTAS 단계,고려사항
정신건강,기괴한 행동,5,"만성, 비급성 상태"
정신건강,"환자의 안녕에 대한 고려 (학대, 방임)",1,폭력 또는 안전하지 않은 상황
정신건강,"환자의 안녕에 대한 고려 (학대, 방임)",2,도주의 가능성이나 학대가 반복될 위험
정신건강,"환자의 안녕에 대한 고려 (학대, 방임)",3,육체적 폭행 또는 성폭행
정신건강,"환자의 안녕에 대한 고려 (학대, 방임)",4,학대의 병력 / 징후
신경계,의식 수준의 변화,2,혈당 <54 mg/dl 이고 관련증상을 동반
신경계,의식 수준의 변화,4,단순 주취에 의한 의식변화
신경계,착란,2,혈당 <54 mg/dl 이고 관련증상을 동반
신경계,착란,2,두통 또는 의식 상태의 변화를 동반한 급성 착란
신경계,착란,3,두통 또는 의식 상태의 변화를 동반하지 않는 급성 착란
신경계,착란,4,"만성, 평상시에 비해 변화 없음"
신경계,현훈,2,자세변화에 의해 유발되지 않음
신경계,현훈,2,신경학적 증상
신경계,현훈,3,"자세변화에 의해 발생, 다른 신경학적 증상 없음"
신경계,현훈,4,"만성, 기타 어지러움"
신경계,두통,2,"급성, 중증, 지금까지 경험했던 두통 중 가장 심함"
신경계,두통,2,시력장애 ± 안구 통증
신경계,두통,5,만성 또는 반복적인 두통
신경계,발작,1,지금 발작 중
신경계,발작,2,발작 후 상태
신경계,발작,3,"회복된 상태, 명료한 의식"
신경계,보행 장애 / 운동 실조 / 강직,2,발병시간 <24 시간
신경계,두부 손상,2,새로운 국소적 신경학적 증상
신경계,두부 손상,3,의식소실의 병력
신경계,두부 손상,3,장기간의 척추고정
신경계,두부 손상,4,의식소실의 병력이 없음
신경계,떨림,4,만성 떨림
신경계,사지 약화 / 뇌졸중 증상,2,발병시간 24시간 이내
신경계,사지 약화 / 뇌졸중 증상,3,발병시간 24시간 초과
신경계,사지 약화 / 뇌졸중 증상,3,회복된 상태
신경계,감각상실 / 이상감각,3,새로 발병한 감각소실 / 이상감각
신경계,감각상실 / 이상감각,4,만성 감각소실 / 이상감각
신경계,기억상실,4,새로 발병한 기억상실
임신 / 여성생식계,월경 문제,4,월경 문제
임신 / 여성생식계,질내 이물질 ,5,질내 이물질
임신 / 여성생식계,질 분비물,5,경증
임신 / 여성생식계,성폭행,2,<2시간
임신 / 여성생식계,성폭행,3,≥2시간부터 <12시간
임신 / 여성생식계,성폭행,4,≥12시간; 손상 없음
임신 / 여성생식계,질 출혈,1,임신과 관련된 다량의 질 출혈
임신 / 여성생식계,질 출혈,2,임신과 관련없는 다량의 질 출혈
임신 / 여성생식계,질 출혈,3,질 출혈 - 정상 활력징후
임신 / 여성생식계,질 출혈,4,질 출혈 - 경증 / 점상 출혈
임신 / 여성생식계,음순 부종,5,음순 부종
임신 / 여성생식계,20주 미만의 임신,2,주기적인 복부 뭉침 또는 허리 통증을 동반한 골반의 압박감
임신 / 여성생식계,20주 미만의 임신,2,다량의 질 출혈
임신 / 여성생식계,20주 미만의 임신,3,경증 / 중등도의 질 출혈
임신 / 여성생식계,20주 미만의 임신,3,복부의 뭉침
임신 / 여성생식계,20주 미만의 임신,3,양수누출의 가능성
임신 / 여성생식계,20주 미만의 임신,4,질 출혈 (점상출혈)
임신 / 여성생식계,20주 미만의 임신,5,핑크빛 점액성 분비물
임신 / 여성생식계,20주 미만의 임신,5,질 분비물
임신 / 여성생식계,20주 이상의 임신,1,태아의 일부분이 보이거나 탯줄 탈출
임신 / 여성생식계,20주 이상의 임신,1,지속되는 질 출혈
임신 / 여성생식계,20주 이상의 임신,1,발작 중 또는 발작 후 상태
임신 / 여성생식계,20주 이상의 임신,1,"임신 주수 >20주, 복부 관통상"
임신 / 여성생식계,20주 이상의 임신,1,태동이 없음
임신 / 여성생식계,20주 이상의 임신,2,진통 (자궁수축 ≤5분)
임신 / 여성생식계,20주 이상의 임신,2,예정이 없었거나 의도치 않은 출산
임신 / 여성생식계,20주 이상의 임신,2,태동이 감소함
임신 / 여성생식계,20주 이상의 임신,2,수축기 혈압 > 160mmHg 또는 이완기 혈압 > 100mmHg
임신 / 여성생식계,20주 이상의 임신,2,두통 ± 부종 ± 상복부 통증 ± 시각장애 ± 뇌졸중 증상
임신 / 여성생식계,20주 이상의 임신,2,"임신주수 > 20주, 주요 복부 둔상"
임신 / 여성생식계,20주 이상의 임신,2,고위험 물질의 오용
임신 / 여성생식계,20주 이상의 임신,3,진통 (자궁수축 >5분)
임신 / 여성생식계,20주 이상의 임신,3,"질 출혈, 현재는 멈춤"
임신 / 여성생식계,20주 이상의 임신,3,수축기 혈압 > 140mmHg 또는 이완기 혈압 > 90mmHg
임신 / 여성생식계,20주 이상의 임신,3,복부를 제외한 부위의 경증 외상
임신 / 여성생식계,20주 이상의 임신,3,양수 누출
임신 / 여성생식계,20주 이상의 임신,4,임신주수 >20주
임신 / 여성생식계,출산 후 문제 (6주 이내),1,발작 중 또는 발작 후 상태
임신 / 여성생식계,출산 후 문제 (6주 이내),2,핏덩이를 동반한 지속되는 질 출혈
임신 / 여성생식계,출산 후 문제 (6주 이내),2,수축기 혈압 > 160mmHg 또는 이완기 혈압 > 100mmHg
임신 / 여성생식계,출산 후 문제 (6주 이내),2,두통 ± 부종 ± 명치통증 ± 시각장애 ± 뇌졸중 증상
임신 / 여성생식계,출산 후 문제 (6주 이내),2,"오한, 상처의 발적 도는 화농성 분비물"
임신 / 여성생식계,출산 후 문제 (6주 이내),2,비정상적 질분비물을 동반한 골반 / 복부 통증
임신 / 여성생식계,출산 후 문제 (6주 이내),2,출산 72시간 이내의 배뇨통 또는 소변배출 장애
임신 / 여성생식계,출산 후 문제 (6주 이내),2,고위험 물질의 오용
임신 / 여성생식계,출산 후 문제 (6주 이내),3,출산후 5일 이내의 선홍색 / 점상출혈
임신 / 여성생식계,출산 후 문제 (6주 이내),3,수축기 혈압 > 140mmHg 또는 이완기 혈압 > 90mmHg
임신 / 여성생식계,출산 후 문제 (6주 이내),3,경막외 마취후 지속되는 두통
임신 / 여성생식계,출산 후 문제 (6주 이내),3,경증 / 중등도의 두통 ± 비체위성 (non-dependent) 부종
임신 / 여성생식계,출산 후 문제 (6주 이내),3,장액 / 혈액성의 분비물을 동반한 상처 발적 또는 부종
임신 / 여성생식계,출산 후 문제 (6주 이내),4,"출산후 10일 이상 경과한 출혈, 활력징후 정상"
임신 / 여성생식계,질 통증 / 가려움,5,"질 통증, 가려움 동반"
눈,눈의 화학물질 노출,2,눈의 화학물질 노출
눈,눈의 이물질,2,이물질의 안구 관통
눈,눈의 이물질,2,급성 또는 갑작스런 시력변화
눈,시력장애,2,급성 / 갑작스런 시력변화
눈,시력장애,4,만성 / 점진적 시력변화
눈,눈 통증,2,급성 / 갑작스런 시력변화
눈,눈 통증,5,"눈 통증, 만성"
눈,눈 충혈 / 분비물,4,"눈 충혈 / 분비물 ,급성"
눈,눈 충혈 / 분비물,5,"눈 충혈 / 분비물, 만성"
눈,눈부심,4,눈부심
눈,복시,3,"급성 발병, 지속되는 증상"
눈,복시,4,만성 복시
눈,안와주위 부종,5,안와주위 부종
눈,눈의 외상,2,"관통 손상이나 화학물질, 직접적인 고열에 의한 손상"
눈,눈의 외상,2,둔상에 의한 시력소실
눈,눈의 외상,2,급성 / 갑작스런 시력 장애
눈,눈의 외상,2,분류 담당자가 눈을 확인할 수 없는 상태
눈,눈의 외상,4,눈의 외상
근골격계,"목, 등, 허리 통증",2,신경학적 손상 ± 장과 방광의 기능장애
근골격계,"목, 등, 허리 통증",5,"목, 등, 허리 통증"
근골격계,"외상성 목, 등, 허리 손상",2,신경학적 손상 ± 장과 방광의 기능장애
근골격계,"외상성 목, 등, 허리 손상",4,"외상성 목, 등, 허리 손상"
근골격계,절단,1,사지의 외상성 절단
근골격계,절단,2,손가락의 외상성 절단
근골격계,절단,2,발가락의 외상성 절단
근골격계,절단,3,절단
근골격계,상지 통증,2,신경혈관 장애
근골격계,상지 통증,3,"석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함"
근골격계,상지 통증,4,"석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음"
근골격계,상지 통증,5,상지의 만성 경증 통증
근골격계,하지 통증,3,"석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함"
근골격계,하지 통증,4,"석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음"
근골격계,하지 통증,5,하지의 만성 경증 통증
근골격계,상지 손상,2,개방성 골절 또는 신경혈관 장애
근골격계,상지 손상,3,명백한 변형
근골격계,상지 손상,3,"석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함"
근골격계,상지 손상,4,"석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음"
근골격계,상지 손상,5,상지의 외상
근골격계,하지 손상 ,2,개방성 골절 또는 신경혈관 장애
근골격계,하지 손상 ,3,명백한 변형
근골격계,하지 손상 ,3,"석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함"
근골격계,하지 손상 ,4,"석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음"
근골격계,하지 손상 ,5,하지의 외상
근골격계,관절 부종,5,관절 부종
호흡기계,숨참,2,FEV1 혹은 PEFR이 40% 미만으로 예상되는 천식 환자 (중증)
호흡기계,숨참,3,FEV1 혹은 PEFR이 40-60% 로 예상되는 천식 환자 (중등도)
호흡기계,숨참,4,FEV1 혹은 PEFR이 60% 이상으로 예상되는 천식 환자 (경증)
호흡기계,호흡 정지,1,호흡 정지
호흡기계,기침 / 코막힘,5,"만성 기침 / 코막힘, 정상 활력징후"
호흡기계,과다호흡증후군,4,"회복된 과다호흡증후군, 건강해 보임"
호흡기계,객혈,4,"객혈, 건강해 보임"
호흡기계,호흡기 이물질,2,침흘림 또는 협착음
호흡기계,호흡기 이물질,2,목쉰소리와 언어장애
호흡기계,호흡기 이물질,2,"단추형 건전지, 뾰족한 물건 등 치료적 내시경을 고려해야 하는 경우"
호흡기계,호흡기 이물질,3,호흡곤란 없는 연하장애
호흡기계,호흡기 이물질,4,"호흡기 이물질, 경증 통증, 호흡곤란은 없음"
호흡기계,알레르기 반응,2,이전 중증의 기왕력
호흡기계,알레르기 반응,2,아나필락시스
호흡기계,알레르기 반응,3,혈관부종
호흡기계,알레르기 반응,4,두드러기
호흡기계,알레르기 반응,5,코막힘을 동반한 알레르기 비염
피부,물림,2,중증 알레르기 반응의 기왕력
피부,물림,5,경증 물림
피부,쏘임,2,중증 알레르기 반응의 기왕력
피부,쏘임,5,쏘임
피부,찰과상,4,출혈이 동반된 찰과상
피부,찰과상,5,경증 찰과상
피부,열상 / 천공,2,신경혈관 장애를 동반한 복합창상
피부,열상 / 천공,3,지속되고 있는 출혈
피부,열상 / 천공,4,지혈되었거나 조절되고 있는 출혈
피부,열상 / 천공,4,봉합 필요
피부,열상 / 천공,5,봉합 필요 없음
피부,화상,2,체표면적 25% 이상의 화상
피부,화상,2,"손, 발, 얼굴, 회음부 부위의 2도 이상의 화상"
피부,화상,3,체표면적의 5-25% 화상
피부,화상,4,"체표면적의 <5%인 3도 이상의 화상, 혹은 <10%의 2도 화상"
피부,화상,5,"화상, 경증 통증"
피부,혈액이나 체액에 노출,3,"고위험 노출: 주사침에 찔렸으나 감염원을 알 수 없는 경우, 주사침의 감염원이 에이즈 혹은 간염 바이러스 보균자이거나 가능성 있는 경우 (알고 있는 저위험 감염원이 아니면 고위험으로 간주)"
피부,혈액이나 체액에 노출,4,저위험 노출: 저위험 감염원의 주사침에 찔린 경우 또는 저위험 감염원에서 체액이 튄 경우
피부,소양증,5,소양증
피부,발진,2,"얼굴 연조직염, 안와주위부 포함"
피부,발진,2,"자반성 또는 점발진, 아파 보임"
피부,발진,3,혈관부종
피부,발진,4,두드러기
피부,발진,4,국소성 연조직염
피부,발진,5,국소성 발진
피부,국소성 부종 / 발적,2,"얼굴 연조직염, 특히, 안와주위"
피부,국소성 부종 / 발적,2,"자반성 또는 점 발진, 아파 보임"
피부,국소성 부종 / 발적,4,국소성 연조직염
피부,국소성 부종 / 발적,5,국소성 발진
피부,상처 확인,5,상처 확인
피부,기타 피부 상태,5,기타 피부 상태
피부,"혹, 돌기, 굳은 살",5,"혹, 돌기, 굳은 살"
피부,감염 가능성 확인,5,감염 가능성 확인
피부,청색증,3,청색증
피부,외상없이 저절로 멍듦,3,외상없이 저절로 멍듦
피부,피부의 이물질,5,피부의 이물질
물질오용,물질 오용 / 중독,2,고위험 물질 / 알 수 없는 물질
물질오용,물질 오용 / 중독,2,도주의 가능성이나 안전에 대한 위험
물질오용,물질 오용 / 중독,4,알려진 저독성 물질
물질오용,과다 복용,2,고위험 물질 / 알 수 없는 물질
물질오용,과다 복용,2,도주의 가능성이나 안전에 대한 위험
물질오용,과다 복용,2,계획적인 자살시도
물질오용,과다 복용,3,구체적인 계획이 없는 자살관념
물질오용,과다 복용,4,과다 복용
물질오용,물질 금단,1,경련중
물질오용,물질 금단,2,"최근 발작, 발작 후 상태, 초조"
물질오용,물질 금단,2,도주의 가능성이나 안전에 대한 위험
물질오용,물질 금단,2,중증 불안 / 초조
물질오용,물질 금단,3,중등도 불안 /초조
물질오용,물질 금단,4,경증 불안 / 초조
몸통외상,몸통을 포함한 다발성 외상 - 관통상,1,"신경학적 손상과 동반된 척추 골절, 두부의 관통상"
몸통외상,몸통을 포함한 다발성 외상 - 관통상,2,사지의 신경혈관 장애
몸통외상,몸통을 포함한 다발성 외상 - 관통상,2,"머리, 가슴, 복부의 관통상"
몸통외상,몸통을 포함한 다발성 외상 - 관통상,3,몸통을 포함한 다발성 외상 - 관통상
몸통외상,몸통을 포함한 다발성 외상 - 둔상,1,신경학적 손상과 동반된 척추 골절
몸통외상,몸통을 포함한 다발성 외상 - 둔상,2,사지의 신경혈관 장애
몸통외상,몸통을 포함한 다발성 외상 - 둔상,3,장기간의 척추고정
몸통외상,몸통을 포함한 다발성 외상 - 둔상,4,몸통을 포함한 다발성 외상 - 둔상
몸통외상,단독 흉부 외상 - 관통상,2,단독 흉부 외상 - 관통상
몸통외상,단독 흉부 외상 - 둔상,3,흉벽 통증에 기인한 말초성 통증
몸통외상,단독 흉부 외상 - 둔상,4,단독 흉부 외상 - 둔상 (건강해 보임)
몸통외상,단독 복부 외상 - 관통상,2,단독 복부 외상 - 관통상
몸통외상,단독 복부 외상 - 둔상,4,단독 복부 외상 - 둔상 (건강해 보임)
일반,감염성 질환에 노출,5,감염성 질환에 노출
일반,열,2,점 발진
일반,고혈당,2,"혈당 > 324mg/dl, 증상 있음"
일반,고혈당,3,"혈당 > 324mg/dl, 무증상"
일반,저혈당,2,혈당 <54mg/dl
일반,저혈당,2,"혈당 54-70mg/dl이면서 저혈당 증상 동반 (의식혼미, 식은땀, 행동변화, 발작 등)"
일반,저혈당,3,혈당 54-70mg/dl이면서 무증상
일반,전문 진료를 위해서 의뢰된 환자,2,"ST분절상승 심근경색, 초급성 뇌경색 등으로 의뢰된 환자"
일반,전문 진료를 위해서 의뢰된 환자,2,바로 치료가 시작되어야 할 위험수치나 이상소견
일반,전문 진료를 위해서 의뢰된 환자,3,"수술 및 시술, 지속감시가 필요하여 의뢰된 환자"
일반,전문 진료를 위해서 의뢰된 환자,5,"전문진료를 위해 의뢰되었으나 수술 및 시술, 지속감시가 필요없는 환자"
일반,드레싱 교체,5,드레싱 교체
피부,스테이플 / 봉합사 제거,5,스테이플 / 봉합사 제거
근골격계,석고 붕대 확인,3,석고붕대가 꽉 끼어 신경혈관 장애를 동반함
근골격계,석고 붕대 확인,4,"석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음"
근골격계,석고 붕대 확인,5,석고붕대 체크 또는 석고붕대 교환
일반,영상 검사 / 검사실 검사,5,영상 검사 / 검사실 검사
일반,의료 장비 문제,4,"의료 장비 문제, 증상이나 불편함이 없음"
일반,처방전 / 투약 문의,5,처방전 / 투약 문의
일반,반지 제거,5,반지 제거
일반,비정상 검사 결과,2,바로 치료가 시작되어야 할 위험수치나 이상소견
일반,비정상 검사 결과,3,위험수치나 이상소견에 해당되나 정상 활력징후
일반,비정상 검사 결과,5,위험수치나 이상소견에 해당되지 않으며 정상 활력징후
일반,창백함 / 빈혈,4,창백함 / 빈혈
일반,수술 후 합병증,4,"정상 활력징후, 통증 없음, 일상적인 체크"
일반,경증 및 비특이적 증상 호소,5,경증 및 비특이적 증상 호소
