성인/소아,신체계통,증상,1/2차 구분,KTAS 단계,고려사항
성인,심혈관계,실신 / 전실신,2차,3,전구증상 동반 또는 급격한 자세 변화시 발병
성인,심혈관계,실신 / 전실신,2차,3,의식소실의 병력
성인,심혈관계,실신 / 전실신,2차,4,"정상 활력, 증상 회복"
성인,심혈관계,전신 부종,1차,1,중증 호흡곤란
성인,심혈관계,전신 부종,1차,1,쇼크
성인,심혈관계,전신 부종,1차,1,무의식
성인,심혈관계,전신 부종,1차,2,중등도 호흡곤란
성인,심혈관계,전신 부종,1차,2,혈역학적 장애
성인,심혈관계,전신 부종,1차,2,의식변화
성인,심혈관계,전신 부종,1차,2,"열, 면역저하 상태"
성인,심혈관계,전신 부종,1차,2,패혈증 의증
성인,심혈관계,전신 부종,1차,3,경증 호흡곤란
성인,심혈관계,전신 부종,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,전신 부종,1차,3,전신염증반응증후군
성인,심혈관계,전신 부종,1차,3,열 (아파 보임)
성인,심혈관계,전신 부종,2차,4,"전신 부종, 정상 활력징후"
성인,심혈관계,다리 부기 / 부종,1차,1,중증 호흡곤란
성인,심혈관계,다리 부기 / 부종,1차,1,쇼크
성인,심혈관계,다리 부기 / 부종,1차,1,무의식
성인,심혈관계,다리 부기 / 부종,1차,2,중등도 호흡곤란
성인,심혈관계,다리 부기 / 부종,1차,2,혈역학적 장애
성인,심혈관계,다리 부기 / 부종,1차,2,의식변화
성인,심혈관계,다리 부기 / 부종,1차,2,"열, 면역저하 상태"
성인,심혈관계,다리 부기 / 부종,1차,2,패혈증 의증
성인,심혈관계,다리 부기 / 부종,1차,3,경증 호흡곤란
성인,심혈관계,다리 부기 / 부종,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,다리 부기 / 부종,1차,3,전신염증반응증후군
성인,심혈관계,다리 부기 / 부종,1차,3,열 (아파 보임)
성인,심혈관계,다리 부기 / 부종,1차,3,급성 말초성 중증 통증
성인,심혈관계,다리 부기 / 부종,1차,4,열 (건강해 보임)
성인,심혈관계,다리 부기 / 부종,1차,4,급성 말초성 중등도 통증
성인,심혈관계,다리 부기 / 부종,1차,4,만성 중심성 중등도 통증
성인,심혈관계,다리 부기 / 부종,1차,5,급성 말초성 경증 통증
성인,심혈관계,다리 부기 / 부종,1차,5,만성 말초성 경증/중등도 통증
성인,심혈관계,다리 부기 / 부종,2차,3,일측성 다리 부기 / 부종
성인,심혈관계,다리 부기 / 부종,2차,5,양측성 다리 부기 / 부종
성인,심혈관계,다리 부기 / 부종,2차,5,만성
성인,심혈관계,맥박이 없거나 차가운 사지,1차,1,중증 호흡곤란
성인,심혈관계,맥박이 없거나 차가운 사지,1차,1,쇼크
성인,심혈관계,맥박이 없거나 차가운 사지,1차,1,무의식
성인,심혈관계,맥박이 없거나 차가운 사지,1차,2,중등도 호흡곤란
성인,심혈관계,맥박이 없거나 차가운 사지,1차,2,혈역학적 장애
성인,심혈관계,맥박이 없거나 차가운 사지,1차,2,의식변화
성인,심혈관계,맥박이 없거나 차가운 사지,1차,2,"열, 면역저하 상태"
성인,심혈관계,맥박이 없거나 차가운 사지,1차,2,패혈증 의증
성인,심혈관계,맥박이 없거나 차가운 사지,2차,2,사지 말단에 맥박이 없음
성인,심혈관계,맥박이 없거나 차가운 사지,2차,2,사지가 차가움
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,2,중등도 호흡곤란
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,2,혈역학적 장애
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,2,의식변화
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,2,"열, 면역저하 상태"
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,2,패혈증 의증
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,3,경증 호흡곤란
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,3,전신염증반응증후군
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,3,열 (아파 보임)
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,3,급성 말초성 중증 통증
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,4,열 (건강해 보임)
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,1차,4,급성 말초성 중등도 통증
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,2차,3,광범위한 염증
성인,심혈관계,일측성의 홍조 띤 뜨거운 사지,2차,4,국소성 염증
성인,귀,이통,1차,3,경증 호흡곤란
성인,귀,이통,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,귀,이통,1차,3,전신염증반응증후군
성인,귀,이통,1차,3,열 (아파 보임)
성인,귀,이통,1차,3,급성 말초성 중증 통증
성인,귀,이통,1차,4,열 (건강해 보임)
성인,귀,이통,1차,4,급성 말초성 중등도 통증
성인,귀,이통,1차,4,만성 중심성 중등도 통증
성인,귀,이통,1차,5,급성 말초성 경증 통증
성인,귀,이통,2차,5,경증 통증을 동반한 이통
성인,귀,귀의 이물질,1차,3,급성 말초성 중증 통증
성인,귀,귀의 이물질,1차,4,급성 말초성 중등도 통증
성인,귀,귀의 이물질,1차,5,급성 말초성 경증 통증
성인,귀,귀의 이물질,2차,5,귀의 이물질
성인,귀,청력소실,2차,3,"청력소실, 급성 발병"
성인,귀,청력소실,2차,5,"청력소실, 서서히 발병"
성인,귀,이명,2차,2,아스피린 복용 가능성 있음
성인,귀,이명,2차,4,이명
성인,귀,귀의 삼출물,1차,3,경증 호흡곤란
성인,귀,귀의 삼출물,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,귀,귀의 삼출물,1차,3,전신염증반응증후군
성인,귀,귀의 삼출물,1차,3,열 (아파 보임)
성인,귀,귀의 삼출물,1차,4,열 (건강해 보임)
성인,귀,귀의 손상,1차,2,중등도 호흡곤란
성인,귀,귀의 손상,1차,2,혈역학적 장애
성인,귀,귀의 손상,1차,2,의식변화
성인,귀,귀의 손상,1차,2,"열, 면역저하 상태"
성인,귀,귀의 손상,1차,2,패혈증 의증
성인,귀,귀의 손상,1차,3,경증 호흡곤란
성인,귀,귀의 손상,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,귀,귀의 손상,1차,3,전신염증반응증후군
성인,귀,귀의 손상,1차,3,열 (아파 보임)
성인,귀,귀의 손상,1차,3,급성 말초성 중증 통증
성인,귀,귀의 손상,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,귀,귀의 손상,1차,4,열 (건강해 보임)
성인,귀,귀의 손상,1차,4,급성 말초성 중등도 통증
성인,귀,귀의 손상,1차,5,급성 말초성 경증 통증
성인,귀,귀의 손상,2차,2,절단
성인,귀,귀의 손상,2차,3,"창백하거나 청색증을 동반한 동상, 중증"
성인,귀,귀의 손상,2차,4,"색 변화를 동반하지 않은 동상, 경증"
성인,귀,귀의 손상,2차,4,봉합이 필요한 열상
성인,귀,귀의 손상,2차,5,봉합이 불필요한 열상 / 찰과상
성인,"입,목/얼굴",치아 / 구강 문제,1차,3,급성 말초성 중증 통증
성인,"입,목/얼굴",치아 / 구강 문제,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,"입,목/얼굴",치아 / 구강 문제,1차,4,급성 말초성 중등도 통증
성인,"입,목/얼굴",치아 / 구강 문제,1차,4,만성 말초성 중증 통증
성인,"입,목/얼굴",치아 / 구강 문제,1차,5,급성 말초성 경증 통증
성인,"입,목/얼굴",치아 / 구강 문제,2차,2,치아 박리 (최근 발생하였으며 온전한 치아가 존재)
성인,"입,목/얼굴",치아 / 구강 문제,2차,4,활력 징후가 정상이며 기저 질환이 없는 잇몸 출혈
성인,"입,목/얼굴",치아 / 구강 문제,2차,5,"치아 / 잇몸 문제, 경증 문제"
성인,"입,목/얼굴",안명 외상,1차,1,중증 호흡곤란
성인,"입,목/얼굴",안명 외상,1차,1,쇼크
성인,"입,목/얼굴",안명 외상,1차,1,무의식
성인,"입,목/얼굴",안명 외상,1차,2,중등도 호흡곤란
성인,"입,목/얼굴",안명 외상,1차,2,혈역학적 장애
성인,"입,목/얼굴",안명 외상,1차,2,의식변화
성인,"입,목/얼굴",안명 외상,1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",안명 외상,1차,2,패혈증 의증
성인,"입,목/얼굴",안명 외상,1차,2,고위험성 사고기전
성인,"입,목/얼굴",안명 외상,1차,3,경증 호흡곤란
성인,"입,목/얼굴",안명 외상,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",안명 외상,1차,3,전신염증반응증후군
성인,"입,목/얼굴",안명 외상,1차,3,열 (아파 보임)
성인,"입,목/얼굴",안명 외상,1차,3,급성 말초성 중증 통증
성인,"입,목/얼굴",안명 외상,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,"입,목/얼굴",안명 외상,1차,4,열 (건강해 보임)
성인,"입,목/얼굴",안명 외상,1차,4,급성 말초성 중등도 통증
성인,"입,목/얼굴",안명 외상,1차,5,급성 말초성 경증 통증
성인,"입,목/얼굴",인후통,1차,1,중증 호흡곤란
성인,"입,목/얼굴",인후통,1차,1,쇼크
성인,"입,목/얼굴",인후통,1차,1,무의식
성인,"입,목/얼굴",인후통,1차,2,중등도 호흡곤란
성인,"입,목/얼굴",인후통,1차,2,혈역학적 장애
성인,"입,목/얼굴",인후통,1차,2,의식변화
성인,"입,목/얼굴",인후통,1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",인후통,1차,2,패혈증 의증
성인,"입,목/얼굴",인후통,1차,2,급성 중심성 중증 통증
성인,"입,목/얼굴",인후통,1차,3,경증 호흡곤란
성인,"입,목/얼굴",인후통,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",인후통,1차,3,전신염증반응증후군
성인,"입,목/얼굴",인후통,1차,3,열 (아파 보임)
성인,"입,목/얼굴",인후통,1차,3,급성 중심성 중등도 통증
성인,"입,목/얼굴",인후통,1차,3,만성 중심성 중증 통증
성인,"입,목/얼굴",인후통,1차,4,열 (건강해 보임)
성인,"입,목/얼굴",인후통,1차,4,급성 중심성 경증 통증
성인,"입,목/얼굴",인후통,1차,4,만성 중심성 중등도 통증
성인,"입,목/얼굴",인후통,1차,5,만성 중심성 경증 통증
성인,"입,목/얼굴",인후통,2차,2,침흘림 또는 협착음
성인,"입,목/얼굴",인후통,2차,2,"입술, 혀, 입인두의 명백한 부종 / 부기"
성인,"입,목/얼굴",인후통,2차,3,연하장애
성인,"입,목/얼굴",인후통,2차,5,경증 인후통 ± 후두염
성인,"입,목/얼굴",목의 부종 / 통증,1차,1,중증 호흡곤란
성인,"입,목/얼굴",목의 부종 / 통증,1차,1,쇼크
성인,"입,목/얼굴",목의 부종 / 통증,1차,1,무의식
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,중등도 호흡곤란
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,혈역학적 장애
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,의식변화
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,패혈증 의증
성인,"입,목/얼굴",목의 부종 / 통증,1차,2,급성 중심성 중증 통증
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,경증 호흡곤란
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,전신염증반응증후군
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,열 (아파 보임)
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,급성 중심성 중등도 통증
성인,"입,목/얼굴",목의 부종 / 통증,1차,3,만성 중심성 중증 통증
성인,"입,목/얼굴",목의 부종 / 통증,1차,4,열 (건강해 보임)
성인,"입,목/얼굴",목의 부종 / 통증,1차,4,급성 중심성 경증 통증
성인,"입,목/얼굴",목의 부종 / 통증,1차,4,만성 중심성 중등도 통증
성인,"입,목/얼굴",목의 부종 / 통증,1차,5,만성 중심성 경증 통증
성인,"입,목/얼굴",목의 부종 / 통증,2차,2,경부 강직 / 수막자극증 ± 열
성인,"입,목/얼굴",목의 부종 / 통증,2차,5,만성 중심성 경증 통증을 동반한 목의 부종 / 통증
성인,"입,목/얼굴",목의 외상,1차,1,중증 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,1,쇼크
성인,"입,목/얼굴",목의 외상,1차,1,무의식
성인,"입,목/얼굴",목의 외상,1차,2,중등도 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,2,혈역학적 장애
성인,"입,목/얼굴",목의 외상,1차,2,의식변화
성인,"입,목/얼굴",목의 외상,1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",목의 외상,1차,2,패혈증 의증
성인,"입,목/얼굴",목의 외상,1차,2,급성 중심성 중증 통증
성인,"입,목/얼굴",목의 외상,1차,2,출혈성 질환 (생명 혹은 사지를 소실할 정도의 위급한 출혈)
성인,"입,목/얼굴",목의 외상,1차,2,고위험성 사고기전
성인,"입,목/얼굴",목의 외상,1차,3,경증 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",목의 외상,1차,3,전신염증반응증후군
성인,"입,목/얼굴",목의 외상,1차,3,열 (아파 보임)
성인,"입,목/얼굴",목의 외상,1차,3,급성 중심성 중등도 통증
성인,"입,목/얼굴",목의 외상,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,"입,목/얼굴",목의 외상,1차,4,열 (건강해 보임)
성인,"입,목/얼굴",목의 외상,1차,4,급성 중심성 경증 통증
성인,"입,목/얼굴",목의 외상,2차,2,"이상감각, 신경학적 징후"
성인,"입,목/얼굴",목의 외상,2차,2,목쉰소리와 언어장애
성인,"입,목/얼굴",목의 외상,1차,1,중증 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,1,쇼크
성인,"입,목/얼굴",목의 외상,1차,1,무의식
성인,"입,목/얼굴",목의 외상,1차,2,중등도 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,2,혈역학적 장애
성인,"입,목/얼굴",목의 외상,1차,2,의식변화
성인,"입,목/얼굴",목의 외상,1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",목의 외상,1차,2,패혈증 의증
성인,"입,목/얼굴",목의 외상,1차,2,급성 중심성 중증 통증
성인,"입,목/얼굴",목의 외상,1차,3,경증 호흡곤란
성인,"입,목/얼굴",목의 외상,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",목의 외상,1차,3,전신염증반응증후군
성인,"입,목/얼굴",목의 외상,1차,3,열 (아파 보임)
성인,"입,목/얼굴",목의 외상,1차,3,급성 중심성 중등도 통증
성인,"입,목/얼굴",목의 외상,1차,4,급성 중심성 경증 통증
성인,"입,목/얼굴",연하장애 / 연하곤란,2차,2,침흘림 또는 협착음
성인,"입,목/얼굴",연하장애 / 연하곤란,2차,3,이물질의 가능성
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,2,중등도 호흡곤란
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,2,혈역학적 장애
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,2,의식변화
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,2,"열, 면역저하 상태"
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,2,패혈증 의증
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,3,경증 호흡곤란
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,3,전신염증반응증후군
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,3,열 (아파 보임)
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,3,급성 말초성 중증 통증
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,4,열 (건강해 보임)
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,4,급성 말초성 중등도 통증
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,4,만성 말초성 중증 통증
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,5,급성 말초성 경증 통증
성인,"입,목/얼굴",안면 통증 (비외상성 / 비치아성),1차,5,만성 말초성 경증/중등도 통증
성인,코,코피,1차,1,중증 호흡곤란
성인,코,코피,1차,1,쇼크
성인,코,코피,1차,1,무의식
성인,코,코피,1차,2,중등도 호흡곤란
성인,코,코피,1차,2,혈역학적 장애
성인,코,코피,1차,2,의식변화
성인,코,코피,1차,2,"열, 면역저하 상태"
성인,코,코피,1차,2,패혈증 의증
성인,코,코피,1차,2,출혈성 질환 (생명 혹은 사지를 소실할 정도의 위급한 출혈)
성인,코,코피,1차,3,경증 호흡곤란
성인,코,코피,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,코,코피,1차,3,전신염증반응증후군
성인,코,코피,1차,3,열 (아파 보임)
성인,코,코피,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,코,코피,1차,4,열 (건강해 보임)
성인,코,코피,2차,2,적절한 압박에도 멈추지 않는 코피
성인,코,코피,2차,3,압박으로 지혈된 코피
성인,코,코피,2차,4,"급성 코피, 두드러진 출혈은 없음"
성인,코,코피,2차,5,주기적 / 반복적이며 두드러지지 않은 출혈
성인,코,코막힘,2차,5,코막힘
성인,코,코의 이물질,1차,2,중등도 호흡곤란
성인,코,코의 이물질,1차,3,경증 호흡곤란
성인,코,코의 이물질,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,코,코의 이물질,1차,3,전신염증반응증후군
성인,코,코의 이물질,1차,3,열 (아파 보임)
성인,코,코의 이물질,1차,3,급성 말초성 중증 통증
성인,코,코의 이물질,1차,4,열 (건강해 보임)
성인,코,코의 이물질,1차,4,급성 말초성 중등도 통증
성인,코,코의 이물질,1차,5,급성 말초성 경증 통증
성인,코,코의 이물질,2차,2,단추형 건전지
성인,코,코의 이물질,2차,5,급성 말초성 경증 통증을 동반한 코의 이물질
성인,코,상기도감염 증상 호소,1차,2,중등도 호흡곤란
성인,코,상기도감염 증상 호소,1차,3,경증 호흡곤란
성인,코,상기도감염 증상 호소,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,코,상기도감염 증상 호소,1차,3,전신염증반응증후군
성인,코,상기도감염 증상 호소,1차,3,열 (아파 보임)
성인,코,상기도감염 증상 호소,1차,3,급성 말초성 중증 통증
성인,코,상기도감염 증상 호소,1차,4,열 (건강해 보임)
성인,코,상기도감염 증상 호소,1차,4,급성 말초성 중등도 통증
성인,코,상기도감염 증상 호소,1차,5,급성 말초성 경증 통증
성인,코,상기도감염 증상 호소,2차,5,"건강해 보임, 열 없음"
성인,코,코의 외상,1차,2,중등도 호흡곤란
성인,코,코의 외상,1차,2,혈역학적 장애
성인,코,코의 외상,1차,2,의식변화
성인,코,코의 외상,1차,2,"열, 면역저하 상태"
성인,코,코의 외상,1차,2,패혈증 의증
성인,코,코의 외상,1차,2,출혈성 질환 (생명 혹은 사지를 소실할 정도의 위급한 출혈)
성인,코,코의 외상,1차,3,경증 호흡곤란
성인,코,코의 외상,1차,3,비정상 맥박수지만 혈역학적으로 안정
성인,코,코의 외상,1차,3,전신염증반응증후군
성인,코,코의 외상,1차,3,열 (아파 보임)
성인,코,코의 외상,1차,3,급성 말초성 중증 통증
성인,코,코의 외상,1차,3,출혈성 질환 (중등도나 경도의 출혈)
성인,코,코의 외상,1차,4,열 (건강해 보임)
성인,코,코의 외상,1차,4,급성 말초성 중등도 통증
성인,코,코의 외상,1차,5,급성 말초성 경증 통증
성인,코,코의 외상,2차,2,적절한 지혈에도 멈추지 않는 코피
